78,0.697,0.39,0.732,0.843,0.769,0.933,0.843,0.209,0.059,0.061,3.022
78.7,0.561,0.671,0.741,0.842,0.781,0.913,0.842,0.165,0.05,0.054,3.026
77.8,0.695,0.391,0.729,0.84,0.766,0.93,0.84,0.256,0.07,0.063,3.021
79.5,0.565,0.664,0.741,0.838,0.786,0.898,0.838,0.17,0.052,0.049,3.03
80.6,0.562,0.636,0.739,0.832,0.79,0.879,0.832,0.265,0.071,0.06,3.024
80,0.563,0.646,0.741,0.836,0.788,0.89,0.836,0.187,0.056,0.053,3.026
60,0.669,0.403,0.477,0.712,0.569,0.951,0.712,0.222,0.06,0.045,6.207
60,0.667,0.404,0.477,0.71,0.568,0.948,0.71,0.2,0.064,0.038,6.213
87.9,0.532,0.617,0.752,0.791,0.788,0.795,0.791,0.204,0.059,0.043,4.578
82.1,0.547,0.554,0.733,0.828,0.789,0.87,0.828,0.25,0.067,0.061,4.579
78.4,0.558,0.683,0.742,0.846,0.778,0.927,0.846,0.187,0.054,0.055,4.584
78,0.54,0.633,0.739,0.845,0.777,0.927,0.845,0.21,0.063,0.064,4.59
87.9,0.531,0.615,0.751,0.79,0.786,0.794,0.79,0.225,0.068,0.047,4.569
78.3,0.556,0.674,0.742,0.846,0.776,0.929,0.846,0.193,0.056,0.053,4.575
78.4,0.558,0.677,0.743,0.846,0.776,0.93,0.846,0.226,0.065,0.055,6.137
89.2,0.55,0.596,0.772,0.802,0.799,0.804,0.802,0.198,0.061,0.042,6.134
78.4,0.558,0.69,0.745,0.851,0.78,0.936,0.851,0.231,0.069,0.057,7.704
78.3,0.701,0.389,0.743,0.851,0.777,0.94,0.851,0.243,0.071,0.064,7.701
78.3,0.7,0.39,0.742,0.85,0.776,0.939,0.85,0.24,0.074,0.057,7.698
78.4,0.702,0.388,0.745,0.852,0.778,0.942,0.852,0.234,0.07,0.052,9.261
78.4,0.701,0.39,0.745,0.851,0.777,0.94,0.851,0.233,0.074,0.054,10.823
78.1,0.697,0.4,0.738,0.844,0.771,0.933,0.844,0.226,0.077,0.042,10.817
76,0.372,1.226,0.635,0.726,0.701,0.753,0.726,0.187,0.074,0.026,12.412
64.1,0.507,1.041,0.566,0.713,0.632,0.818,0.713,0.183,0.072,0.027,12.405
71.3,0.44,0.865,0.588,0.749,0.675,0.84,0.749,0.219,0.044,0.011,0.047
72.2,0.523,0.581,0.595,0.757,0.676,0.86,0.757,0.167,0.045,0.008,0.047
76.2,0.454,0.869,0.699,0.796,0.752,0.846,0.796,0.158,0.041,0.021,0.067
